product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0
3aa071139cb16b67ca9e5dea641aaa2f,artes,44.0,276.0,1.0,1000.0,30.0,18.0,20.0
cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0
37cc742be07708b53a98702e77a21a02,eletrodomesticos,57.0,163.0,1.0,400.0,27.0,13.0,17.0
8c92109888e8cdf9d66dc7e463025574,brinquedos,36.0,1156.0,1.0,600.0,17.0,10.0,12.0
03b63c5fc16691530586ae020c345514,bebes,49.0,728.0,4.0,7150.0,50.0,19.0,45.0
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39.0,346.0,2.0,400.0,27.0,5.0,20.0
8b41fbc2b984a12030090112324d1bc4,bebes,55.0,1627.0,1.0,500.0,20.0,13.0,13.0
5370b82a213393979691c98074265584,bebes,52.0,708.0,9.0,7950.0,33.0,30.0,44.0
b8dac5113b06a97e64943234522572b9,automotivo,43.0,1062.0,2.0,6000.0,87.0,3.0,42.0
750cf819d127191920eda79a4b6fb479,eletronicos,31.0,806.0,1.0,263.0,18.0,12.0,16.0
1c6fb703c624b381a20f21f757694866,brinquedos,33.0,471.0,2.0,725.0,22.0,17.0,15.0
b864b103180d5a6a3f830e67f93e8735,bebes,47.0,980.0,4.0,600.0,70.0,11.0,11.0
83b9bc6aae6f527ff6aafb9e01d6cbf3,brinquedos,20.0,866.0,3.0,2550.0,22.0,32.0,38.0
334479e94cba98064050db1c9636e244,automotivo,57.0,311.0,1.0,220.0,18.0,14.0,17.0
3fcd8dfe610c62edfb51de2630cd9ef4,bebes,50.0,509.0,4.0,5700.0,41.0,17.0,49.0
92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,51.0,427.0,2.0,100.0,19.0,3.0,11.0
1065dbb6b0bf03daaedab1236979e296,papelaria,49.0,488.0,3.0,1400.0,38.0,40.0,39.0
0d826eba8e0a2ae3bca9e3a947dd756d,brinquedos,50.0,423.0,4.0,250.0,20.0,14.0,12.0
4e04ffb7dd3739ecfc37de8927dd586c,papelaria,59.0,144.0,1.0,500.0,24.0,7.0,16.0
dc21247da0290904ffbbcd5953c76f95,papelaria,41.0,92.0,1.0,100.0,16.0,5.0,16.0
9020ce7adcc384b2899ae87ddc54767b,papelaria,43.0,198.0,2.0,300.0,23.0,7.0,15.0
1e5428c428e0f783acd6e3d94ba4ee2a,pcs,55.0,1067.0,1.0,12000.0,27.0,50.0,53.0
94080f9219044d897195e2be145945dc,automotivo,60.0,1543.0,6.0,921.0,17.0,9.0,16.0
278b3c6462e86b4556b99989513ddf73,eletroportateis,58.0,587.0,3.0,350.0,20.0,20.0,20.0
0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0
b1eae565a61935e0011ee7682fef9dc9,perfumaria,49.0,460.0,2.0,267.0,17.0,13.0,17.0
64c8f1a52b407d92518a1f8b79240a70,telefonia,49.0,319.0,1.0,100.0,18.0,6.0,11.0
e6a1ff3552ba3305c1cf0a4dde50347f,automotivo,58.0,703.0,6.0,5250.0,47.0,19.0,23.0
d8a405c732027a2af3187b031890933d,automotivo,50.0,361.0,1.0,200.0,35.0,4.0,26.0
c18c01e09509a509e2b88d3ed40c580e,bebes,46.0,1039.0,1.0,2150.0,42.0,25.0,15.0
e8fd6f481db77b847e7ab93fa1510e7e,eletroportateis,53.0,794.0,4.0,2700.0,20.0,26.0,32.0
7f6308ba4057a6a740af7b4dcfb79c13,telefonia,63.0,1930.0,9.0,200.0,19.0,5.0,11.0
8da90b37f0fb171b4877c124f965b1f6,perfumaria,56.0,733.0,3.0,377.0,18.0,13.0,15.0
f17b05cc8a7651896df8c30884200e9a,climatizacao,30.0,547.0,1.0,2000.0,32.0,51.0,16.0
ac5bae85a895724330c4acddd581b02b,telefonia,50.0,1254.0,2.0,500.0,16.0,15.0,11.0
cbaff83e2c00a2b731d27276bbf52082,artes,59.0,1431.0,6.0,7900.0,70.0,15.0,70.0
60cf4effb6947283fa638d570bd07318,bebes,30.0,410.0,4.0,4500.0,80.0,70.0,28.0
484bf1dff778a416389aafd0dee1cb11,brinquedos,55.0,852.0,1.0,350.0,21.0,9.0,16.0
3cef8174403f4fdedbf24fa67fa9f132,bebes,39.0,805.0,3.0,1800.0,18.0,32.0,27.0
8d6cb00151d423c52855385c89f0bae8,automotivo,58.0,386.0,1.0,27100.0,50.0,50.0,50.0
5877301b00f95e3c6118738b293dfab3,eletrodomesticos,50.0,273.0,1.0,1500.0,65.0,8.0,38.0
fc2edee55f4118969f4dc49f7a717605,automotivo,47.0,1548.0,3.0,500.0,16.0,12.0,17.0
db7e6804f1a8206a7e51c9a741a09d9e,brinquedos,51.0,410.0,2.0,300.0,24.0,11.0,24.0
3014e35fd70fce29095ced5cdc89f4ce,telefonia,51.0,244.0,1.0,125.0,17.0,10.0,14.0
1cf39a397efa955b102a52ee7ec5531c,automotivo,35.0,907.0,3.0,18200.0,56.0,15.0,15.0
d458378a178cd7cae60052319cebf235,papelaria,50.0,198.0,2.0,200.0,24.0,7.0,14.0
4473f3e5c65952b074ef987fa5c24662,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0
828fe032935d7c1901682e5b6cc076c2,perfumaria,48.0,1063.0,2.0,600.0,20.0,20.0,20.0
19502a282608c5627fb32e22724727fc,brinquedos,47.0,181.0,1.0,11650.0,55.0,30.0,30.0
657491063e8a63247a108a4d9cedf020,brinquedos,25.0,274.0,1.0,3050.0,40.0,10.0,40.0
a388f2043ca885de714453e4fac616e2,telefonia,50.0,744.0,1.0,100.0,16.0,3.0,11.0
75b433ca888fe027b18dfac89a284667,eletronicos,37.0,374.0,1.0,1350.0,33.0,12.0,26.0
42fe4aefc7e8a45dd96a59af81dd3fef,automotivo,59.0,162.0,1.0,1300.0,20.0,20.0,20.0
47969dd948e918289f809be899ddfb4c,papelaria,48.0,501.0,1.0,258.0,19.0,12.0,19.0
446295cf6f689d4db477145815362608,papelaria,59.0,209.0,1.0,1400.0,16.0,44.0,37.0
280c05c66173c2b377f3e449e33abc6d,brinquedos,59.0,640.0,1.0,400.0,35.0,7.0,35.0
4a96de21ccfb22ebe1c56992acbbd7fc,climatizacao,58.0,655.0,5.0,1300.0,30.0,10.0,30.0
04869307f7e7dc5b07f1d83406ade1e5,brinquedos,58.0,443.0,2.0,3305.0,38.0,36.0,19.0
8bb6ace4cf2411747ea1cfecad5a458d,bebes,55.0,224.0,2.0,6000.0,75.0,15.0,50.0
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0
3fc3d637781e5d185455013606a6e2cd,eletronicos,32.0,1274.0,1.0,250.0,16.0,10.0,30.0
21d325f98c6505a72b1bcf363f3d3f88,brinquedos,57.0,1532.0,2.0,1250.0,29.0,19.0,22.0
6e9c52b407fea24064f7ab2b144fbf8c,bebes,56.0,1395.0,7.0,13575.0,71.0,81.0,44.0
